col_id	kingdom	phylum	class	order	family	genus
COL120	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter
COL121	Bacteria	Bacillota	Clostridia	Oscillospirales	NA	NA
COL122	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria
COL123	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella
COL124	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus
COL125	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium
COL126	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Plesiomonas
COL127	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Ruminiclostridium
COL128	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Asaccharobacter
COL129	Bacteria	Bacillota	Clostridia	Eubacteriales	Anaerofustaceae	Anaerofustis
COL130	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA
COL131	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium
COL132	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Ruficoccus
COL133	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter
COL134	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Papillibacter
COL135	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerotignum
COL136	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Cellulosilyticum
COL137	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia
COL138	Bacteria	Bacillota	Bacilli	Staphylococcales	Gemellaceae	Gemella
COL139	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Sellimonas
COL140	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia
COL141	Bacteria	Bacillota	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus
COL142	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella
COL143	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea
COL144	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Frisingicoccus
COL145	Bacteria	Actinomycetota	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum
